CustomerID,Age,Income,Interests,Segment
1,34,84406,"Luxury, Sports",Home Owners
2,62,72644,"Travel, Gardening",Home Makers
3,39,86476,"Sports, Tech, DIY",Home Owners
4,21,31290,"Outdoors, Gaming",Creative Enthusiasts
5,42,79501,"Sports, Music",Senior Professionals
6,44,65510,"Luxury, Art",Urban Professionals
7,27,88008,"Luxury, Art, Dining, Family",Active Lifestyles
8,19,62616,"Art, Music",Tech Savvy
9,54,85698,"Music, Travel, Outdoors",Creative Enthusiasts
10,36,78928,"Outdoors, Fitness, Luxury",Music Lovers
11,21,66173,"DIY, Fitness, Gardening",Sports Fans
12,50,53992,"Tech, DIY, Gaming",Tech Savvy
13,20,43492,"Travel, Sports, Art, Tech",Active Lifestyles
14,47,75833,"Fitness, Culture, Home",Entertainment Seekers
15,37,91645,"Dining, DIY",Entertainment Seekers
16,46,84447,"Tech, Art, Culture",Senior Professionals
17,47,73975,"Travel, Music, Finance",Entertainment Seekers
18,41,97105,"Culture, Sports, Fitness, Gaming",Music Lovers
19,23,62963,"Fitness, Art, Gaming, Travel",Sports Fans
20,63,68140,"Outdoors, Tech, Travel, DIY",Home Owners
21,63,32461,"Music, Sports, Home, Travel",Creative Enthusiasts
22,23,61023,"Sports, Outdoors",Music Lovers
23,42,80291,"Fitness, Home",Music Lovers
24,64,73836,"DIY, Dining, Travel, Sports",Music Lovers
25,29,65423,"Finance, Art, Culture",Affluent Individuals
26,56,31710,"Family, Home, Tech, Sports",Financial Experts
27,60,31500,"Outdoors, Home, Sports, Art",Active Lifestyles
28,58,83705,"Culture, Sports, Outdoors",Home Owners
29,54,90787,"Tech, Culture, Finance, Outdoors",Tech Savvy
30,52,96635,"Outdoors, Travel, Dining, Tech",Financial Experts
31,22,77216,"Outdoors, Gardening, Home",Tech Savvy
32,36,73363,"Gardening, Luxury, Family",Affluent Individuals
33,37,52303,"Home, Family, Gardening, Outdoors",Senior Professionals
34,48,93536,"Finance, Gardening, Tech",Urban Professionals
35,60,50978,"Outdoors, Finance, Family, Sports",Active Lifestyles
36,46,60775,"Gardening, Outdoors, Gaming, Luxury",Senior Professionals
37,39,81161,"Gardening, DIY, Dining",Home Owners
38,35,52227,"Culture, Luxury, Outdoors, Art",Home Owners
39,18,70667,"Family, Culture",Foodies
40,57,84082,"Gaming, Family",Tech Savvy
41,56,48704,"Culture, Tech, Music, Sports",Sports Fans
42,54,82172,"Gardening, DIY, Music, Sports",Entertainment Seekers
43,26,79923,"Outdoors, Art, Sports, Tech",Senior Professionals
44,61,82379,"Gardening, Art",Active Lifestyles
45,48,91473,"Gardening, Art, Home, Outdoors",Foodies
46,59,79598,"Travel, Tech",Tech Savvy
47,45,31653,"Tech, DIY",Financial Experts
48,35,74578,"Home, Outdoors",Senior Professionals
49,19,83092,"Luxury, Travel, Culture, Family",Gen Z
50,45,83506,"Luxury, Outdoors",Music Lovers
